ID,Feed,Sentiment
1,الحلو انكم بتحكوا على اساس انو الاردن ما فيه فساد سرقات,Negative
2,كله رائع بجد ربنا يكرمك,Positive
3,ابشرك فيه تحسن ولله الحمد باذن الله يرجع قريبا,Positive
4,ابو الشباب راعي العود ليش ماوزنه في البيت غباء,Negative
5,ابو معيتق قطع اوتار العود وقال السلام عليكم,Negative
6,اترك ما تهوى لاجل من تخشى,Positive
7,اتصور لو ظليت ما اتعلق احسن لانه تعليقاتك مقرفه,Negative
8,اتفه على هيك برنامج عالمي,Negative
9,اتقوا الله فينا بكفي رفع اسعار الرواتب بالحضيض,Negative
10,اجتماع حواء اكيد في خرفنه,Negative
11,اجل الاخير واضح انو بيمثل وتمثيلو خام هو والا معو,Negative
12,احب الله تعالى و رسوله الكريم,Positive
13,احتمال ما يشارك الليو البايخ,Negative
14,احس انه يفطر حشيش,Negative
15,احسن اظن بالله وتوكل عليه وحده,Positive
16,احسن شيء العمل الذي يؤدي للاستمراريه,Positive
17,احسنت  وصفت ما يدور او يجول في راس كل شاب ملتزم كل فتاه عفيفه نقيه تقيه,Positive
18,احسنت كلام دقيق جدا,Positive
19,احسنوا الظن وثقوا بما عند الله وتوكلوا عليه لا تفسد عقلك بالتشاؤم,Positive
20,احقر من هيك خيانه ما في,Negative
21,احلى اشي الواحد يوكل بدون ما يطبخ,Positive
22,احلى اشي في الحياه الاستقرار مع زوج صالح,Positive
23,احلى شىء النهايه الباقيه صح كلامك,Positive
24,احلى صباح من احلى شيخ في العالم,Positive
25,احمد الله تعالى ان اولادي لايدرسون في مدارس الاردن.,Negative
26,احيانا الوحده تزيل بعضا من الهموم,Positive
27,احيانا يكون الفشل دافع للنجاح,Positive
28,اخ يا بطني عورني من الضحكك,Negative
29,اخبار مسخره,Negative
30,اخر همي اني اتناقش مع اي كائن حي اواتجادل بذات اذاكان عقيم فكريا,Negative
31,اخر واحد اش فيه مجنون المفرووض اللجنه تمنع المجانين,Negative
32,اخر واحد مهستر,Negative
33,اخرس صحيح ما تفهم,Negative
